OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 30, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 30, 40, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 30, 40, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 40, 50, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 40, 50, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 50, 60, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 50, 60, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 60, 70, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 60, 70, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 70, 80, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 70, 80, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 80, 100, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 80, 100, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 100, 120, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 100, 120, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 120, 160, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 120, 160, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 160, 210, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 160, 210, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 210, 260, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 210, 260, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 260, 320, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 260, 320, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 320, 400, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 320, 400, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 400, 500, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 400, 500, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 1, -2.4, 2.4, 500, 670, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, central, 0, -2.4, 2.4, 500, 670, 0, 1, "0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))" 
0, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.077735096216201782" 
0, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.038867548108100891" 
0, mujets, down, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.032980646938085556" 
0, mujets, down, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.016490323469042778" 
0, mujets, down, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.035403627902269363" 
0, mujets, down, 0, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.017701813951134682" 
0, mujets, down, 1, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.055160630494356155" 
0, mujets, down, 0, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.027580315247178078" 
0, mujets, down, 1, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.034580573439598083" 
0, mujets, down, 0, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.017290286719799042" 
0, mujets, down, 1, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.029407858848571777" 
0, mujets, down, 0, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.014703929424285889" 
0, mujets, down, 1, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.028419177979230881" 
0, mujets, down, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.01420958898961544" 
0, mujets, down, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.033788241446018219" 
0, mujets, down, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.016894120723009109" 
0, mujets, down, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.037239674478769302" 
0, mujets, down, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.018619837239384651" 
0, mujets, down, 1, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.038729492574930191" 
0, mujets, down, 0, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.019364746287465096" 
0, mujets, down, 1, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.050653718411922455" 
0, mujets, down, 0, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.025326859205961227" 
0, mujets, down, 1, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.062554709613323212" 
0, mujets, down, 0, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.031277354806661606" 
0, mujets, down, 1, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.098430901765823364" 
0, mujets, down, 0, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.049215450882911682" 
0, mujets, down, 1, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.12087488919496536" 
0, mujets, down, 0, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.060437444597482681" 
0, mujets, down, 1, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.10713228583335876" 
0, mujets, down, 0, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.053566142916679382" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0028415480628609657" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014207740314304829" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0016791056841611862" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00083955284208059311" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014863512478768826" 
