OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 30, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 30, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 30, 40, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 30, 40, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 40, 50, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 40, 50, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 50, 60, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 50, 60, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 60, 70, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 60, 70, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 70, 80, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 70, 80, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 80, 100, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 80, 100, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 100, 120, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 100, 120, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 120, 160, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 120, 160, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 160, 210, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 160, 210, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 1, -2.4, 2.4, 210, 260, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
0, mujets, central, 0, -2.4, 2.4, 210, 260, 0, 1, "1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x)))" 
